order_details_id,order_id,pizza_id,quantity
20541,9023,green_garden_m,1
20542,9024,veggie_veg_m,1
20543,9025,bbq_ckn_m,1
20544,9026,bbq_ckn_s,1
20545,9026,pepperoni_s,1
20546,9027,calabrese_l,1
20547,9028,cali_ckn_m,1
20548,9029,big_meat_s,1
20549,9030,the_greek_xl,1
20550,9031,four_cheese_l,1
20551,9031,ital_supr_m,1
20552,9032,southw_ckn_m,1
20553,9033,calabrese_s,1
20554,9033,sicilian_s,1
20555,9033,spinach_supr_l,1
20556,9034,bbq_ckn_m,1
20557,9034,big_meat_s,1
20558,9034,sicilian_m,1
20559,9034,spicy_ital_l,1
20560,9035,four_cheese_l,1
20561,9036,four_cheese_m,1
20562,9036,mexicana_l,1
20563,9036,napolitana_s,1
20564,9036,spicy_ital_l,1
20565,9037,five_cheese_l,1
20566,9037,four_cheese_l,1
20567,9037,ital_supr_l,1
20568,9037,ital_supr_m,1
20569,9037,ital_supr_s,1
20570,9037,napolitana_s,1
20571,9037,peppr_salami_l,1
20572,9037,sicilian_m,1
20573,9037,southw_ckn_l,1
20574,9037,spicy_ital_m,1
20575,9037,spicy_ital_s,3
20576,9037,the_greek_l,1
20577,9037,veggie_veg_s,1
20578,9038,calabrese_m,1
20579,9038,classic_dlx_m,1
20580,9038,pep_msh_pep_l,1
20581,9038,thai_ckn_m,1
20582,9039,ckn_alfredo_m,1
20583,9040,four_cheese_l,1
20584,9040,the_greek_xl,1
20585,9041,cali_ckn_m,1
20586,9042,big_meat_s,1
20587,9042,ital_cpcllo_m,1
20588,9042,ital_veggie_l,1
20589,9042,mediterraneo_s,1
20590,9042,mexicana_l,2
20591,9042,pepperoni_l,1
20592,9042,pepperoni_m,2
20593,9042,sicilian_l,1
20594,9042,spinach_fet_l,1
20595,9043,cali_ckn_m,1
20596,9044,soppressata_l,1
20597,9045,ital_cpcllo_m,1
20598,9045,thai_ckn_l,1
20599,9046,peppr_salami_l,1
20600,9047,bbq_ckn_m,1
20601,9047,cali_ckn_s,1
20602,9047,ckn_pesto_l,1
20603,9047,pep_msh_pep_s,1
20604,9048,five_cheese_l,1
20605,9048,southw_ckn_l,1
20606,9049,four_cheese_m,1
20607,9049,green_garden_s,1
20608,9049,ital_veggie_m,1
20609,9049,spin_pesto_s,1
20610,9050,pep_msh_pep_m,1
20611,9051,bbq_ckn_l,1
20612,9051,brie_carre_s,1
20613,9052,five_cheese_l,1
20614,9052,mediterraneo_l,1
20615,9052,napolitana_m,1
20616,9052,thai_ckn_l,1
20617,9053,classic_dlx_l,1
20618,9053,sicilian_s,1
20619,9054,brie_carre_s,1
20620,9055,four_cheese_m,1
20621,9055,ital_supr_s,1
20622,9055,pep_msh_pep_m,1
20623,9055,thai_ckn_s,1
20624,9056,calabrese_m,1
20625,9056,four_cheese_m,1
20626,9056,mexicana_l,1
20627,9056,pep_msh_pep_m,1
20628,9057,bbq_ckn_m,1
20629,9057,ckn_pesto_s,1
20630,9057,classic_dlx_m,1
20631,9057,napolitana_s,1
20632,9058,ital_cpcllo_l,1
20633,9058,spinach_supr_m,1
20634,9058,veggie_veg_l,1
20635,9059,spin_pesto_s,1
20636,9059,the_greek_xl,1
20637,9060,brie_carre_s,1
20638,9060,peppr_salami_s,1
20639,9060,southw_ckn_m,1
20640,9061,bbq_ckn_m,1
20641,9061,soppressata_l,1
20642,9062,southw_ckn_l,1
20643,9062,spinach_supr_l,1
20644,9063,hawaiian_s,1
20645,9064,five_cheese_l,1
20646,9064,spinach_fet_l,1
20647,9065,four_cheese_l,1
20648,9065,hawaiian_s,1
20649,9066,sicilian_s,1
20650,9067,big_meat_s,1
20651,9067,southw_ckn_l,1
20652,9067,spinach_supr_m,1
20653,9068,thai_ckn_l,1
20654,9069,cali_ckn_s,1
20655,9070,calabrese_m,1
20656,9070,classic_dlx_s,1
20657,9071,bbq_ckn_s,1
