order_details_id,order_id,pizza_id,quantity
44762,19671,four_cheese_m,1
44763,19671,mediterraneo_s,1
44764,19672,prsc_argla_s,1
44765,19673,ckn_pesto_m,1
44766,19674,five_cheese_l,1
44767,19674,ital_supr_m,1
44768,19674,peppr_salami_s,1
44769,19674,thai_ckn_s,1
44770,19675,calabrese_m,1
44771,19675,hawaiian_s,1
44772,19675,peppr_salami_l,1
44773,19676,four_cheese_l,1
44774,19676,ital_supr_l,1
44775,19676,mexicana_l,1
44776,19676,prsc_argla_m,1
44777,19677,hawaiian_l,1
44778,19678,four_cheese_l,2
44779,19678,spicy_ital_m,1
44780,19679,bbq_ckn_l,1
44781,19679,big_meat_s,1
44782,19679,green_garden_s,1
44783,19679,mexicana_m,1
44784,19679,veggie_veg_s,1
44785,19680,green_garden_s,1
44786,19680,hawaiian_m,1
44787,19680,southw_ckn_l,1
44788,19681,ckn_pesto_m,1
44789,19682,ital_cpcllo_l,1
44790,19682,peppr_salami_l,1
44791,19683,veggie_veg_s,1
44792,19684,five_cheese_l,1
44793,19684,spin_pesto_m,1
44794,19685,sicilian_m,1
44795,19686,sicilian_s,1
44796,19687,big_meat_s,1
44797,19687,calabrese_s,1
44798,19687,ital_veggie_m,1
44799,19687,spicy_ital_m,1
44800,19688,napolitana_s,1
44801,19688,spicy_ital_m,1
44802,19689,spicy_ital_l,1
44803,19690,hawaiian_m,1
44804,19690,ital_cpcllo_l,1
44805,19690,mexicana_l,1
44806,19690,peppr_salami_l,1
44807,19690,peppr_salami_s,1
44808,19690,southw_ckn_s,1
44809,19691,ital_supr_m,1
44810,19692,classic_dlx_l,1
44811,19692,pep_msh_pep_m,1
44812,19693,hawaiian_l,1
44813,19693,ital_supr_m,1
44814,19693,southw_ckn_m,1
44815,19693,southw_ckn_s,1
44816,19693,spinach_fet_m,1
44817,19694,soppressata_s,1
44818,19695,classic_dlx_m,1
44819,19695,green_garden_m,1
44820,19695,pepperoni_m,1
44821,19695,prsc_argla_m,1
44822,19696,bbq_ckn_l,1
44823,19696,cali_ckn_m,1
44824,19697,ckn_pesto_s,1
44825,19697,thai_ckn_l,1
44826,19697,the_greek_m,1
44827,19698,ital_supr_m,1
44828,19699,cali_ckn_s,1
44829,19699,pep_msh_pep_s,1
44830,19700,ital_supr_m,1
44831,19701,big_meat_s,1
44832,19701,four_cheese_l,1
44833,19701,mexicana_s,1
44834,19701,soppressata_m,1
44835,19702,peppr_salami_s,1
44836,19703,cali_ckn_s,1
44837,19703,mexicana_m,1
44838,19704,hawaiian_m,1
44839,19705,classic_dlx_l,1
44840,19706,classic_dlx_m,1
44841,19706,sicilian_m,1
44842,19706,sicilian_s,1
44843,19706,spinach_fet_m,1
44844,19707,hawaiian_l,1
44845,19708,pep_msh_pep_m,1
44846,19708,veggie_veg_m,1
44847,19709,big_meat_s,1
44848,19709,hawaiian_l,1
44849,19710,bbq_ckn_s,1
44850,19710,ital_veggie_l,1
44851,19711,pepperoni_m,1
44852,19712,ckn_alfredo_m,1
44853,19712,hawaiian_m,1
44854,19713,five_cheese_l,1
44855,19713,ital_supr_l,1
44856,19714,spin_pesto_s,1
44857,19715,ital_veggie_m,1
44858,19715,soppressata_s,1
44859,19716,cali_ckn_m,1
44860,19716,pep_msh_pep_m,1
44861,19716,southw_ckn_m,1
44862,19716,spinach_supr_s,1
44863,19717,cali_ckn_l,1
44864,19717,pep_msh_pep_l,1
44865,19717,spicy_ital_l,1
44866,19717,spin_pesto_m,1
44867,19718,four_cheese_l,1
44868,19718,pepperoni_s,1
44869,19719,bbq_ckn_s,1
44870,19719,thai_ckn_l,1
