order_details_id,order_id,pizza_id,quantity
8049,3531,pepperoni_m,1
8050,3532,southw_ckn_s,1
8051,3533,four_cheese_l,1
8052,3533,ital_supr_m,1
8053,3533,veggie_veg_l,1
8054,3534,bbq_ckn_l,1
8055,3534,cali_ckn_l,1
8056,3535,green_garden_s,1
8057,3535,veggie_veg_s,1
8058,3536,mediterraneo_l,1
8059,3537,cali_ckn_m,1
8060,3537,hawaiian_s,1
8061,3537,sicilian_l,1
8062,3537,southw_ckn_l,1
8063,3538,hawaiian_s,1
8064,3538,pep_msh_pep_s,1
8065,3538,spinach_fet_m,1
8066,3538,veggie_veg_l,1
8067,3539,calabrese_m,1
8068,3539,cali_ckn_m,1
8069,3539,classic_dlx_m,1
8070,3539,spinach_fet_m,1
8071,3539,spinach_fet_s,1
8072,3540,pepperoni_m,1
8073,3541,veggie_veg_m,1
8074,3542,green_garden_s,1
8075,3543,five_cheese_l,1
8076,3544,five_cheese_l,1
8077,3544,green_garden_s,1
8078,3545,spin_pesto_s,1
8079,3545,spinach_fet_l,1
8080,3546,hawaiian_s,1
8081,3546,southw_ckn_l,1
8082,3546,thai_ckn_l,1
8083,3546,veggie_veg_s,1
8084,3547,big_meat_s,1
8085,3547,southw_ckn_m,1
8086,3548,classic_dlx_l,1
8087,3548,ital_supr_m,1
8088,3549,four_cheese_l,1
8089,3549,prsc_argla_s,1
8090,3550,ital_cpcllo_s,1
8091,3550,spicy_ital_m,1
8092,3551,big_meat_s,1
8093,3552,four_cheese_m,1
8094,3552,pepperoni_m,1
8095,3552,peppr_salami_m,1
8096,3553,five_cheese_l,1
8097,3553,napolitana_m,1
8098,3554,spicy_ital_s,1
8099,3555,ckn_pesto_l,1
8100,3555,five_cheese_l,1
8101,3555,hawaiian_l,1
8102,3555,spin_pesto_s,1
8103,3556,bbq_ckn_l,1
8104,3556,ital_cpcllo_l,1
8105,3557,spicy_ital_l,1
8106,3558,southw_ckn_l,1
8107,3558,the_greek_m,1
8108,3559,four_cheese_m,1
8109,3559,mexicana_m,1
8110,3559,southw_ckn_s,1
8111,3559,spin_pesto_m,1
8112,3560,ital_cpcllo_s,1
8113,3560,mediterraneo_l,1
8114,3561,pepperoni_l,1
8115,3561,peppr_salami_m,1
8116,3562,ital_veggie_s,1
8117,3562,southw_ckn_m,1
8118,3563,ital_supr_m,1
8119,3564,sicilian_m,1
8120,3564,spicy_ital_l,1
8121,3565,spinach_fet_l,1
8122,3566,cali_ckn_s,1
8123,3566,hawaiian_l,1
8124,3567,mediterraneo_l,1
8125,3568,peppr_salami_l,1
8126,3568,the_greek_s,1
8127,3569,classic_dlx_s,1
8128,3570,pepperoni_s,1
8129,3570,thai_ckn_l,1
8130,3571,pep_msh_pep_l,1
8131,3571,pepperoni_s,1
8132,3571,the_greek_xl,1
8133,3572,ital_supr_m,1
8134,3573,cali_ckn_m,1
8135,3573,pepperoni_l,1
8136,3573,southw_ckn_l,1
8137,3574,brie_carre_s,1
8138,3574,hawaiian_s,1
8139,3574,thai_ckn_s,1
8140,3575,veggie_veg_l,1
8141,3576,five_cheese_l,1
8142,3576,pepperoni_l,1
8143,3576,thai_ckn_s,1
8144,3577,southw_ckn_l,1
8145,3578,cali_ckn_m,1
8146,3579,big_meat_s,1
8147,3579,classic_dlx_s,1
8148,3580,pep_msh_pep_s,1
8149,3581,ckn_alfredo_m,1
8150,3582,prsc_argla_m,1
8151,3582,spicy_ital_m,1
8152,3583,bbq_ckn_s,1
8153,3583,calabrese_m,1
8154,3583,cali_ckn_m,1
8155,3583,five_cheese_l,1
8156,3583,four_cheese_l,1
8157,3583,ital_cpcllo_l,1
8158,3583,mexicana_m,1
8159,3583,sicilian_m,1
8160,3583,southw_ckn_l,1
8161,3583,spicy_ital_l,1
8162,3583,spicy_ital_m,1
8163,3583,spin_pesto_m,1
8164,3583,spinach_fet_s,1
8165,3584,ckn_alfredo_l,1
8166,3584,five_cheese_l,1
8167,3584,thai_ckn_m,1
8168,3585,napolitana_l,1
8169,3586,bbq_ckn_m,1
8170,3587,ital_supr_l,1
8171,3587,pep_msh_pep_m,1
8172,3587,spinach_fet_l,1
8173,3588,peppr_salami_l,1
8174,3589,bbq_ckn_s,1
8175,3589,cali_ckn_l,1
8176,3589,ckn_pesto_l,1
8177,3589,hawaiian_m,1
8178,3589,mediterraneo_m,1
8179,3589,napolitana_m,1
8180,3589,the_greek_xl,1
8181,3589,veggie_veg_m,1
8182,3589,veggie_veg_s,1
8183,3590,hawaiian_s,1
8184,3590,ital_veggie_m,1
8185,3590,spicy_ital_l,1
8186,3590,spicy_ital_m,1
8187,3591,ital_supr_l,1
8188,3592,soppressata_m,1
8189,3593,cali_ckn_l,1
8190,3593,green_garden_s,1
8191,3593,southw_ckn_l,1
8192,3593,spicy_ital_l,1
8193,3594,pep_msh_pep_s,1
8194,3595,brie_carre_s,1
8195,3595,cali_ckn_l,1
8196,3596,big_meat_s,1
8197,3597,spinach_fet_l,1
8198,3598,soppressata_l,1
8199,3599,calabrese_m,1
8200,3600,spinach_supr_l,1
8201,3600,spinach_supr_s,1
8202,3601,hawaiian_m,1
8203,3601,pep_msh_pep_s,1
8204,3601,southw_ckn_m,1
8205,3602,mexicana_l,1
8206,3603,big_meat_s,1
8207,3604,cali_ckn_s,1
8208,3605,hawaiian_s,1
8209,3605,prsc_argla_m,1
8210,3606,ital_supr_m,1
8211,3606,sicilian_l,1
8212,3606,spicy_ital_l,1
