order_details_id,order_id,pizza_id,quantity
32961,14572,ital_cpcllo_l,1
32962,14572,thai_ckn_l,1
32963,14573,sicilian_s,1
32964,14574,bbq_ckn_l,1
32965,14574,sicilian_l,1
32966,14574,spicy_ital_m,1
32967,14574,thai_ckn_l,1
32968,14575,pep_msh_pep_l,1
32969,14575,the_greek_xl,1
32970,14576,prsc_argla_l,1
32971,14577,big_meat_s,1
32972,14578,classic_dlx_l,1
32973,14579,classic_dlx_m,1
32974,14579,five_cheese_l,1
32975,14580,napolitana_m,1
32976,14581,ital_cpcllo_l,1
32977,14581,veggie_veg_s,1
32978,14582,bbq_ckn_s,1
32979,14582,big_meat_s,2
32980,14582,cali_ckn_m,1
32981,14582,green_garden_m,1
32982,14582,hawaiian_l,1
32983,14582,ital_cpcllo_l,1
32984,14582,ital_supr_l,1
32985,14582,napolitana_m,1
32986,14583,bbq_ckn_s,1
32987,14583,calabrese_m,1
32988,14583,hawaiian_s,1
32989,14583,ital_veggie_l,1
32990,14583,ital_veggie_s,1
32991,14583,mediterraneo_l,1
32992,14583,mediterraneo_m,2
32993,14583,pepperoni_s,1
32994,14583,peppr_salami_s,1
32995,14583,prsc_argla_m,1
32996,14583,thai_ckn_l,1
32997,14584,soppressata_l,1
32998,14584,veggie_veg_m,1
32999,14585,cali_ckn_l,1
33000,14585,classic_dlx_m,1
33001,14585,four_cheese_m,1
33002,14585,pepperoni_m,1
33003,14585,prsc_argla_s,1
33004,14585,spin_pesto_s,1
33005,14585,thai_ckn_s,1
33006,14585,veggie_veg_s,1
33007,14586,big_meat_s,1
33008,14587,bbq_ckn_s,1
33009,14587,big_meat_s,1
33010,14588,ital_supr_m,1
33011,14589,soppressata_m,1
33012,14590,peppr_salami_l,1
33013,14590,spinach_supr_s,1
33014,14591,bbq_ckn_m,1
33015,14592,hawaiian_s,1
33016,14592,southw_ckn_l,1
33017,14592,spinach_fet_l,1
33018,14593,pepperoni_m,1
33019,14594,calabrese_s,1
33020,14594,classic_dlx_m,1
33021,14594,hawaiian_s,1
33022,14594,pepperoni_l,1
33023,14595,ckn_alfredo_m,1
33024,14596,spicy_ital_m,1
33025,14597,the_greek_xl,1
33026,14598,spinach_supr_l,1
33027,14599,classic_dlx_s,1
33028,14599,napolitana_l,1
33029,14599,spicy_ital_m,1
33030,14599,the_greek_xl,1
33031,14600,southw_ckn_l,1
33032,14600,spin_pesto_m,1
33033,14601,ital_cpcllo_l,1
33034,14602,sicilian_s,1
33035,14603,four_cheese_l,1
33036,14603,spinach_fet_m,1
33037,14604,calabrese_m,1
33038,14604,cali_ckn_l,1
